Over,Batter Runs,Cumulative Runs,Extra_Runs,Total_Runs,Bowler_ID,Striker_ID,Venue_ID,Team_ID
1.4,0,19,4,4,236,82,1,0
1.5,6,25,0,6,236,82,1,0
1.6,0,26,1,1,236,82,1,0
1.7,0,26,0,0,236,82,1,0
2.1,0,30,4,4,98,206,1,0
2.2,1,31,0,1,98,206,1,0
2.3,6,37,0,6,98,82,1,0
2.4,4,41,0,4,98,82,1,0
2.5,1,42,0,1,98,82,1,0
2.6,2,44,0,2,98,206,1,0
3.1,0,44,0,0,253,82,1,0
3.2,0,44,0,0,253,82,1,0
3.3,4,48,0,4,253,233,1,0
3.4,0,49,1,1,253,233,1,0
3.5,0,49,0,0,253,206,1,0
3.6,0,49,0,0,253,206,1,0
4.1,0,49,0,0,98,233,1,0
4.2,4,53,0,4,98,233,1,0
4.3,4,57,0,4,98,233,1,0
4.4,0,57,0,0,98,233,1,0
4.5,0,57,0,0,98,233,1,0
4.6,0,57,0,0,98,233,1,0
5.1,0,57,0,0,253,206,1,0
5.2,0,57,0,0,253,206,1,0
5.3,0,57,0,0,253,206,1,0
5.4,0,57,0,0,253,206,1,0
5.5,0,58,1,1,253,206,1,0
5.6,4,62,0,4,253,206,1,0
5.7,1,63,0,1,253,206,1,0
6.1,4,67,0,4,236,206,1,0
6.2,0,67,0,0,236,206,1,0
6.3,1,68,0,1,236,18,1,0
6.4,0,68,0,0,236,233,1,0
6.5,6,74,0,6,236,233,1,0
6.6,0,74,0,0,236,233,1,0
7.1,1,75,0,1,131,18,1,0
7.2,6,81,0,6,131,233,1,0
7.3,1,82,0,1,131,233,1,0
7.4,1,83,0,1,131,18,1,0
7.5,1,84,0,1,131,233,1,0
7.6,1,85,0,1,131,18,1,0
8.1,1,86,0,1,236,18,1,0
8.2,4,90,0,4,236,233,1,0
8.3,0,90,0,0,236,233,1,0
8.4,1,91,0,1,236,233,1,0
8.5,4,95,0,4,236,18,1,0
8.6,1,96,0,1,236,18,1,0
9.1,0,96,0,0,131,18,1,0
9.2,1,97,0,1,131,18,1,0
9.3,1,98,0,1,131,233,1,0
9.4,2,100,0,2,131,18,1,0
9.5,1,101,0,1,131,18,1,0
9.6,6,107,0,6,131,233,1,0
10.1,0,107,0,0,253,18,1,0
10.2,6,113,0,6,253,18,1,0
10.3,1,114,0,1,253,18,1,0
10.4,0,114,0,0,253,233,1,0
10.5,1,115,0,1,253,233,1,0
10.6,4,119,0,4,253,18,1,0
11.1,4,123,0,4,22,233,1,0
11.2,0,123,0,0,22,233,1,0
11.3,1,124,0,1,22,233,1,0
11.4,4,128,0,4,22,18,1,0
11.5,1,129,0,1,22,18,1,0
11.6,0,129,0,0,22,233,1,0
12.1,1,130,0,1,119,18,1,0
12.2,1,131,0,1,119,233,1,0
12.3,4,135,0,4,119,18,1,0
12.4,1,136,0,1,119,18,1,0
12.5,0,136,0,0,119,233,1,0
12.6,6,142,0,6,119,233,1,0
13.1,6,148,0,6,22,18,1,0
13.2,4,152,0,4,22,18,1,0
13.3,6,158,0,6,22,18,1,0
13.4,6,164,0,6,22,18,1,0
0.1,0,0,0,0,126,22,1,1
0.2,0,0,0,0,126,22,1,1
0.3,0,0,0,0,126,138,1,1
0.4,4,4,0,4,126,138,1,1
0.5,0,4,0,0,126,138,1,1
0.6,4,8,0,4,126,138,1,1
1.1,2,10,0,2,106,48,1,1
1.2,0,11,1,1,106,48,1,1
1.3,1,12,0,1,106,48,1,1
1.4,1,13,0,1,106,138,1,1
1.5,0,13,0,0,106,48,1,1
1.6,0,13,0,0,106,48,1,1
1.7,0,13,0,0,106,119,1,1
2.1,1,14,0,1,126,138,1,1
2.2,0,15,1,1,126,119,1,1
2.3,1,16,0,1,126,119,1,1
2.4,4,20,0,4,126,138,1,1
2.5,1,21,0,1,126,138,1,1
2.6,0,21,0,0,126,119,1,1
2.7,0,21,0,0,126,119,1,1
3.1,2,23,0,2,106,138,1,1
3.2,0,23,0,0,106,138,1,1
3.3,4,28,1,5,106,138,1,1
3.4,0,28,0,0,106,138,1,1
3.5,1,29,0,1,106,138,1,1
3.6,2,31,0,2,106,119,1,1
3.7,0,32,1,1,106,119,1,1
3.8,1,33,0,1,106,119,1,1
4.1,4,37,0,4,126,119,1,1
4.2,1,38,0,1,126,119,1,1
4.3,1,39,0,1,126,138,1,1
4.4,0,39,0,0,126,119,1,1
4.5,0,39,0,0,126,119,1,1
4.6,0,39,0,0,126,177,1,1
5.1,0,39,0,0,228,138,1,1
5.2,1,40,0,1,228,138,1,1
5.3,4,44,0,4,228,143,1,1
5.4,0,44,0,0,228,143,1,1
5.5,0,44,0,0,228,143,1,1
