Index,Over,Runs_on_that_bowl,Bowler_ID,Striker_ID,Venue_ID,Team_ID,Strike_Rate,Runs_on_previous_ball,Avg_Extra_Runs_Last_5,Avg_Extra_Runs_Last_4,Avg_Extra_Runs_Last_3,Avg_Total_Runs_Last_3,Avg_Total_Runs_Last_4,Avg_Total_Runs_Last_5
15274,7.2,1,173,22,2,1,2.285714286,1,0.2,0.25,0.33,4.33,3.5,3
15275,7.3,4,173,48,2,1,2,1,0.2,0.25,0.33,2.67,3.5,3
15276,7.4,4,173,48,2,1,2,4,1,1.25,1.67,2,3,3.6
15277,7.5,1,173,48,2,1,2,4,1,1.25,1.33,3,2.5,3.2
15278,7.6,0,173,22,2,1,2.285714286,1,1,1,1.33,3,2.5,2.2
15279,7.7,4,173,240,2,1,1.333333333,0,0.8,1,0,1.67,2.25,2
15280,8.1,1,251,48,2,1,1,4,0.8,0,0,1.67,2.25,2.6
15281,8.2,2,251,240,2,1,1.857142857,1,0,0,0,1.67,1.5,2
15282,8.3,0,251,240,2,1,1.857142857,2,0,0,0,2.33,1.75,1.6
15283,8.4,1,251,240,2,1,1.857142857,0,0,0,0,1,1.75,1.4
15284,8.5,1,251,48,2,1,1,1,0,0,0,1,1,1.6
15285,8.6,6,251,240,2,1,1.857142857,1,0,0,0,0.67,1,1
15286,9.1,4,222,48,2,1,3.333333333,6,0,0,0,2.67,2,2
15287,9.2,6,222,48,2,1,3.333333333,4,0,0,0,3.67,3,2.4
15288,9.3,6,222,48,2,1,3.333333333,6,0,0,0,5.33,4.25,3.6
15289,9.4,4,222,48,2,1,3.333333333,6,0,0,0,5.33,5.5,4.6
15290,9.5,0,222,48,2,1,3.333333333,4,0,0,0,5.33,5,5.2
15291,9.6,0,222,48,2,1,3.333333333,0,0,0,0,3.33,4,4
15292,10.1,1,191,240,2,1,1.6,0,0,0,0,1.33,2.5,3.2
15293,10.2,1,191,48,2,1,3.111111111,1,0,0,0,0.33,1.25,2.2
15294,10.3,3,191,240,2,1,1.6,1,0,0,0,0.67,0.5,1.2
15295,10.4,6,191,48,2,1,3.111111111,3,0,0,0,1.67,1.25,1
15296,10.5,2,191,48,2,1,3.111111111,6,0,0,0,3.33,2.75,2.2
15297,10.6,0,191,48,2,1,3.111111111,2,0,0,0,3.67,3,2.6
15298,11.1,2,68,240,2,1,0.833333333,0,0,0,0,2.67,2.75,2.4
15299,11.2,1,68,240,2,1,0.833333333,2,0,0,0,1.33,2.5,2.6
15300,11.3,1,68,143,2,1,3.25,1,0,0,0,1,1.25,2.2
15301,11.4,1,68,240,2,1,0.833333333,1,0,0,0,1.33,1,1.2
15302,11.5,6,68,143,2,1,3.25,1,0,0,0,1,1.25,1
15303,11.6,1,68,143,2,1,3.25,6,0,0,0,2.67,2.25,2.2
15304,12.1,1,53,143,2,1,2,1,0,0,0,2.67,2.25,2
15305,12.2,1,53,240,2,1,0.777777778,1,0,0,0,2.67,2.25,2
15306,12.3,2,53,143,2,1,2,1,0,0,0,1,2.25,2
15307,12.4,0,53,240,2,1,0.777777778,2,0.2,0.25,0.33,1.33,1.25,2.2
15308,12.5,1,53,240,2,1,0.777777778,0,0.2,0.25,0.33,1,1,1
15309,12.6,1,53,143,2,1,2,1,0.2,0.25,0.33,1,1,1
15310,12.7,1,53,240,2,1,0.777777778,1,0.2,0.25,0,0.67,1,1
15311,13.1,2,251,240,2,1,1.857142857,1,0.2,0,0,1,0.75,1
15312,13.2,1,251,240,2,1,1.857142857,2,0,0,0,1.33,1.25,1
15313,13.3,0,251,143,2,1,2,1,0,0,0,1.33,1.25,1.2
15314,13.4,6,251,143,2,1,2,0,0,0,0,1,1,1
15315,13.5,1,251,143,2,1,2,6,0,0,0,2.33,2.25,2
15316,13.6,1,251,240,2,1,1.857142857,1,0,0,0,2.33,2,2
15317,14.1,1,53,240,2,1,0.777777778,1,0,0,0,2.67,2,1.8
15318,14.2,1,53,143,2,1,2,1,0,0,0,1,2.25,1.8
15319,14.3,1,53,240,2,1,0.777777778,1,0,0,0,1,1,2
15320,14.4,6,53,143,2,1,2,1,0,0,0,1,1,1
15321,14.5,1,53,143,2,1,2,6,0,0,0,2.67,2.25,2
15322,14.6,1,53,240,2,1,0.777777778,1,0,0,0,2.67,2.25,2
15323,15.1,1,173,240,2,1,1.333333333,1,0,0,0,2.67,2.25,2
15324,15.2,2,173,143,2,1,1.75,1,0,0,0,1,2.25,2
15325,15.3,1,173,143,2,1,1.75,2,0,0,0,1.33,1.25,2.2
15326,15.4,5,173,240,2,1,1.333333333,1,0,0,0,1.33,1.25,1.2
15327,15.5,1,173,240,2,1,1.333333333,5,1,1.25,1.67,2.67,2.25,2
15328,15.6,1,173,143,2,1,1.75,1,1,1.25,1.67,2.33,2.25,2
15329,15.7,1,173,240,2,1,1.333333333,1,1,1.25,1.67,2.33,2,2
